program,tipe,kode,dimensi,penjelasan,atribut,pernyataan,opsi_atau_skala
YES,Skala 0-4,Y-A1.1,Tangibles,"Bukti Fisik (Tangibles): Tampilan visual yang kasat mata, seperti fasilitas fisik, peralatan, kebersihan ruangan, dan kerapian karyawan",Seleksi Program,Persyaratan seleksi mudah dipahami dan dipenuhi,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-A1.2,Tangibles,"Bukti Fisik (Tangibles): Tampilan visual yang kasat mata, seperti fasilitas fisik, peralatan, kebersihan ruangan, dan kerapian karyawan",Seleksi Program,Alur dan proses seleksi memiliki prosedur yang jelas,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-T1.3,Tangibles,"Bukti Fisik (Tangibles): Tampilan visual yang kasat mata, seperti fasilitas fisik, peralatan, kebersihan ruangan, dan kerapian karyawan",Seleksi Program,Informasi seleksi mudah didapatkan,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-T1.4,Tangibles,"Bukti Fisik (Tangibles): Tampilan visual yang kasat mata, seperti fasilitas fisik, peralatan, kebersihan ruangan, dan kerapian karyawan",Seleksi Program,Proses seleksi dilakukan secara adil dan transparan,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-T1.5,Tangibles,"Bukti Fisik (Tangibles): Tampilan visual yang kasat mata, seperti fasilitas fisik, peralatan, kebersihan ruangan, dan kerapian karyawan",Pelaksanaan Kegiatan Intensif,Lokasi kegiatan mudah diakses,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-T1.6,Tangibles,"Bukti Fisik (Tangibles): Tampilan visual yang kasat mata, seperti fasilitas fisik, peralatan, kebersihan ruangan, dan kerapian karyawan",Pelaksanaan Kegiatan Intensif,Tempat kegiatan nyaman,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R1.1,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Dukungan Aktivitas,Uang saku diberikan tepat waktu,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R1.2,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Dukungan Aktivitas,Besaran uang saku mencukupi kebutuhan pendidikan,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R1.3,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Dukungan Aktivitas,"Tools program (kaos, dll) mendukung identitas program ","{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R1.4,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Dukungan Aktivitas,Buku materi cukup sebagai referensi belajar,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R1.5,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Dukungan Aktivitas,Support biaya masuk PTN mencukupi,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R1.6,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Dukungan Aktivitas,"Support Prestasi Program memberikan dukungan untuk pengembangan prestasi (lomba, akademik/non-akademik) ","{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R2.1,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Campus Preparation,Membantu saya memahami strategi masuk PTN,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R2.2,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Campus Preparation,Membantu saya menentukan jurusan & kampus,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R2.3,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Campus Preparation,Meningkatkan kemampuan mengerjakan soal seleksi,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R2.4,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Campus Preparation,Memberikan gambaran kehidupan kampus,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R3.1,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Quranic Mentorship,Meningkatkan kedekatan saya dengan Al-Qur’an,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R3.2,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Quranic Mentorship,Meningkatkan kualitas ibadah saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R3.3,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Quranic Mentorship,"Membantu saya memahami nilai kehidupan (akhlak, fiqih, sirah)","{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R3.4,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Quranic Mentorship,Membantu saya menjadi pribadi yang lebih baik ,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
YES,Skala 0-4,Y-R3.5,Reliability,"Keandalan (Reliability): Kemampuan perusahaan untuk memberikan pelayanan yang akurat, tepat waktu, dan dapat diandalkan sesuai dengan yang dijanjikan",Kualitas Program Quranic Mentorship,Meningkatan hafalan juz 30 saya,"{""kenyataan"": [""Tidak Mengetahui"",""Sangat Tidak Setuju"",""Tidak Setuju"",""Setuju"", ""Sangat Setuju""], ""harapan"":[""Tidak Mengetahui"",""Sangat Tidak Penting"",""Tidak Penting"",""Penting"",""Sangat Penting""]}"
